k,n,dist,treatment_shift,test_name,alpha,rejection_rate
3,2,F1,8.98876404494382,JT_test,0.01,0.0
3,2,F1,8.98876404494382,DD_test,0.01,0.0
3,2,F1,8.98876404494382,JT_test,0.05,0.161548
3,2,F1,8.98876404494382,DD_test,0.05,0.221428
3,2,F1,8.98876404494382,JT_test,0.1,0.353412
3,2,F1,8.98876404494382,DD_test,0.1,0.37606
3,2,F1,9.55056179775281,JT_test,0.01,0.0
3,2,F1,9.55056179775281,DD_test,0.01,0.0
3,2,F1,9.55056179775281,JT_test,0.05,0.172344
3,2,F1,9.55056179775281,DD_test,0.05,0.237416
3,2,F1,9.55056179775281,JT_test,0.1,0.373752
3,2,F1,9.55056179775281,DD_test,0.1,0.399992
3,2,F1,10.112359550561798,JT_test,0.01,0.0
3,2,F1,10.112359550561798,DD_test,0.01,0.0
3,2,F1,10.112359550561798,JT_test,0.05,0.1819
3,2,F1,10.112359550561798,DD_test,0.05,0.252092
3,2,F1,10.112359550561798,JT_test,0.1,0.3926
3,2,F1,10.112359550561798,DD_test,0.1,0.421932
3,2,F1,10.674157303370787,JT_test,0.01,0.0
3,2,F1,10.674157303370787,DD_test,0.01,0.0
3,2,F1,10.674157303370787,JT_test,0.05,0.19222
3,2,F1,10.674157303370787,DD_test,0.05,0.268264
3,2,F1,10.674157303370787,JT_test,0.1,0.411184
3,2,F1,10.674157303370787,DD_test,0.1,0.443936
3,2,F1,11.235955056179776,JT_test,0.01,0.0
3,2,F1,11.235955056179776,DD_test,0.01,0.0
3,2,F1,11.235955056179776,JT_test,0.05,0.200816
3,2,F1,11.235955056179776,DD_test,0.05,0.282244
3,2,F1,11.235955056179776,JT_test,0.1,0.428616
3,2,F1,11.235955056179776,DD_test,0.1,0.465008
3,2,F1,11.797752808988765,JT_test,0.01,0.0
3,2,F1,11.797752808988765,DD_test,0.01,0.0
3,2,F1,11.797752808988765,JT_test,0.05,0.21072
3,2,F1,11.797752808988765,DD_test,0.05,0.29844
3,2,F1,11.797752808988765,JT_test,0.1,0.446644
3,2,F1,11.797752808988765,DD_test,0.1,0.48748
3,2,F1,12.359550561797754,JT_test,0.01,0.0
3,2,F1,12.359550561797754,DD_test,0.01,0.0
3,2,F1,12.359550561797754,JT_test,0.05,0.219156
3,2,F1,12.359550561797754,DD_test,0.05,0.312056
3,2,F1,12.359550561797754,JT_test,0.1,0.462364
3,2,F1,12.359550561797754,DD_test,0.1,0.506364
3,2,F1,12.921348314606742,JT_test,0.01,0.0
3,2,F1,12.921348314606742,DD_test,0.01,0.0
3,2,F1,12.921348314606742,JT_test,0.05,0.227956
3,2,F1,12.921348314606742,DD_test,0.05,0.325808
3,2,F1,12.921348314606742,JT_test,0.1,0.477796
3,2,F1,12.921348314606742,DD_test,0.1,0.527128
3,2,F1,13.483146067415731,JT_test,0.01,0.0
3,2,F1,13.483146067415731,DD_test,0.01,0.0
3,2,F1,13.483146067415731,JT_test,0.05,0.237332
3,2,F1,13.483146067415731,DD_test,0.05,0.3429
3,2,F1,13.483146067415731,JT_test,0.1,0.495484
3,2,F1,13.483146067415731,DD_test,0.1,0.550192
3,2,F1,14.04494382022472,JT_test,0.01,0.0
3,2,F1,14.04494382022472,DD_test,0.01,0.0
3,2,F1,14.04494382022472,JT_test,0.05,0.24616
3,2,F1,14.04494382022472,DD_test,0.05,0.357704
3,2,F1,14.04494382022472,JT_test,0.1,0.510644
3,2,F1,14.04494382022472,DD_test,0.1,0.571304
3,2,F1,14.606741573033709,JT_test,0.01,0.0
3,2,F1,14.606741573033709,DD_test,0.01,0.0
3,2,F1,14.606741573033709,JT_test,0.05,0.252628
3,2,F1,14.606741573033709,DD_test,0.05,0.36946
3,2,F1,14.606741573033709,JT_test,0.1,0.52184
3,2,F1,14.606741573033709,DD_test,0.1,0.587576
3,2,F1,15.168539325842698,JT_test,0.01,0.0
3,2,F1,15.168539325842698,DD_test,0.01,0.0
3,2,F1,15.168539325842698,JT_test,0.05,0.261036
