k,n,dist,treatment_shift,parameter,test_name,alpha,rejection_rate
3,3,F1,7.5,39.09395973154363,JT_test,0.05,0.740892
3,3,F1,7.5,39.09395973154363,DD_test,0.05,0.836532
3,3,F1,7.5,39.42953020134228,JT_test,0.05,0.737992
3,3,F1,7.5,39.42953020134228,DD_test,0.05,0.833452
3,3,F1,7.5,39.76510067114094,JT_test,0.05,0.735824
3,3,F1,7.5,39.76510067114094,DD_test,0.05,0.832272
3,3,F1,7.5,40.100671140939596,JT_test,0.05,0.73282
3,3,F1,7.5,40.100671140939596,DD_test,0.05,0.82926
3,3,F1,7.5,40.43624161073826,JT_test,0.05,0.730648
3,3,F1,7.5,40.43624161073826,DD_test,0.05,0.827428
3,3,F1,7.5,40.77181208053691,JT_test,0.05,0.726216
3,3,F1,7.5,40.77181208053691,DD_test,0.05,0.823024
3,3,F1,7.5,41.10738255033557,JT_test,0.05,0.72454
3,3,F1,7.5,41.10738255033557,DD_test,0.05,0.820544
3,3,F1,7.5,41.442953020134226,JT_test,0.05,0.720384
3,3,F1,7.5,41.442953020134226,DD_test,0.05,0.81846
3,3,F1,7.5,41.77852348993289,JT_test,0.05,0.71854
3,3,F1,7.5,41.77852348993289,DD_test,0.05,0.816576
3,3,F1,7.5,42.11409395973155,JT_test,0.05,0.714844
3,3,F1,7.5,42.11409395973155,DD_test,0.05,0.812724
3,3,F1,7.5,42.4496644295302,JT_test,0.05,0.712708
3,3,F1,7.5,42.4496644295302,DD_test,0.05,0.811472
3,3,F1,7.5,42.785234899328856,JT_test,0.05,0.708312
3,3,F1,7.5,42.785234899328856,DD_test,0.05,0.806656
3,3,F1,7.5,43.12080536912752,JT_test,0.05,0.705808
3,3,F1,7.5,43.12080536912752,DD_test,0.05,0.806304
3,3,F1,7.5,43.45637583892618,JT_test,0.05,0.702424
3,3,F1,7.5,43.45637583892618,DD_test,0.05,0.802112
3,3,F1,7.5,43.79194630872483,JT_test,0.05,0.698552
3,3,F1,7.5,43.79194630872483,DD_test,0.05,0.79816
3,3,F1,7.5,44.127516778523486,JT_test,0.05,0.69614
3,3,F1,7.5,44.127516778523486,DD_test,0.05,0.796272
3,3,F1,7.5,44.463087248322154,JT_test,0.05,0.693944
3,3,F1,7.5,44.463087248322154,DD_test,0.05,0.795048
3,3,F1,7.5,44.79865771812081,JT_test,0.05,0.691392
3,3,F1,7.5,44.79865771812081,DD_test,0.05,0.791748
3,3,F1,7.5,45.13422818791946,JT_test,0.05,0.687016
3,3,F1,7.5,45.13422818791946,DD_test,0.05,0.788368
3,3,F1,7.5,45.46979865771812,JT_test,0.05,0.686008
3,3,F1,7.5,45.46979865771812,DD_test,0.05,0.787888
3,3,F1,7.5,45.805369127516784,JT_test,0.05,0.682016
3,3,F1,7.5,45.805369127516784,DD_test,0.05,0.78416
3,3,F1,7.5,46.14093959731544,JT_test,0.05,0.679704
3,3,F1,7.5,46.14093959731544,DD_test,0.05,0.78108
3,3,F1,7.5,46.47651006711409,JT_test,0.05,0.6752
3,3,F1,7.5,46.47651006711409,DD_test,0.05,0.778372
3,3,F1,7.5,46.81208053691275,JT_test,0.05,0.673668
3,3,F1,7.5,46.81208053691275,DD_test,0.05,0.776148
3,3,F1,7.5,47.14765100671141,JT_test,0.05,0.672028
3,3,F1,7.5,47.14765100671141,DD_test,0.05,0.774696
3,3,F1,7.5,47.48322147651007,JT_test,0.05,0.667184
3,3,F1,7.5,47.48322147651007,DD_test,0.05,0.769288
3,3,F1,7.5,47.81879194630872,JT_test,0.05,0.665092
3,3,F1,7.5,47.81879194630872,DD_test,0.05,0.767648
3,3,F1,7.5,48.15436241610738,JT_test,0.05,0.662216
3,3,F1,7.5,48.15436241610738,DD_test,0.05,0.765216
3,3,F1,7.5,48.48993288590604,JT_test,0.05,0.65824
3,3,F1,7.5,48.48993288590604,DD_test,0.05,0.7628
3,3,F1,7.5,48.8255033557047,JT_test,0.05,0.658128
3,3,F1,7.5,48.8255033557047,DD_test,0.05,0.760784
3,3,F1,7.5,49.16107382550336,JT_test,0.05,0.654184
3,3,F1,7.5,49.16107382550336,DD_test,0.05,0.757624
3,3,F1,7.5,49.49664429530202,JT_test,0.05,0.652824
3,3,F1,7.5,49.49664429530202,DD_test,0.05,0.757104
3,3,F1,7.5,49.83221476510067,JT_test,0.05,0.648396
3,3,F1,7.5,49.83221476510067,DD_test,0.05,0.752468
3,3,F1,7.5,50.16778523489933,JT_test,0.05,0.646704
3,3,F1,7.5,50.16778523489933,DD_test,0.05,0.751084
3,3,F1,7.5,50.50335570469799,JT_test,0.05,0.644644
3,3,F1,7.5,50.50335570469799,DD_test,0.05,0.748836
3,3,F1,7.5,50.83892617449665,JT_test,0.05,0.640568
3,3,F1,7.5,50.83892617449665,DD_test,0.05,0.744928
3,3,F1,7.5,51.1744966442953,JT_test,0.05,0.637828
3,3,F1,7.5,51.1744966442953,DD_test,0.05,0.742544
3,3,F1,7.5,51.51006711409396,JT_test,0.05,0.636628
3,3,F1,7.5,51.51006711409396,DD_test,0.05,0.741512
3,3,F1,7.5,51.84563758389262,JT_test,0.05,0.63514
3,3,F1,7.5,51.84563758389262,DD_test,0.05,0.740516
3,3,F1,7.5,52.18120805369128,JT_test,0.05,0.633576
3,3,F1,7.5,52.18120805369128,DD_test,0.05,0.73734
3,3,F1,7.5,52.51677852348993,JT_test,0.05,0.63028
3,3,F1,7.5,52.51677852348993,DD_test,0.05,0.734724
3,3,F1,7.5,52.85234899328859,JT_test,0.05,0.628188
3,3,F1,7.5,52.85234899328859,DD_test,0.05,0.73258
3,3,F1,7.5,53.187919463087255,JT_test,0.05,0.626576
3,3,F1,7.5,53.187919463087255,DD_test,0.05,0.731048
3,3,F1,7.5,53.52348993288591,JT_test,0.05,0.622156
3,3,F1,7.5,53.52348993288591,DD_test,0.05,0.72744
3,3,F1,7.5,53.85906040268456,JT_test,0.05,0.620488
3,3,F1,7.5,53.85906040268456,DD_test,0.05,0.725192
3,3,F1,7.5,54.19463087248322,JT_test,0.05,0.618732
3,3,F1,7.5,54.19463087248322,DD_test,0.05,0.723264
3,3,F1,7.5,54.530201342281885,JT_test,0.05,0.615856
3,3,F1,7.5,54.530201342281885,DD_test,0.05,0.720548
3,3,F1,7.5,54.86577181208054,JT_test,0.05,0.613652
3,3,F1,7.5,54.86577181208054,DD_test,0.05,0.717688
3,3,F1,7.5,55.20134228187919,JT_test,0.05,0.611408
3,3,F1,7.5,55.20134228187919,DD_test,0.05,0.715932
3,3,F1,7.5,55.53691275167785,JT_test,0.05,0.60736
3,3,F1,7.5,55.53691275167785,DD_test,0.05,0.712524
3,3,F1,7.5,55.872483221476514,JT_test,0.05,0.605212
3,3,F1,7.5,55.872483221476514,DD_test,0.05,0.711232
3,3,F1,7.5,56.20805369127517,JT_test,0.05,0.603624
3,3,F1,7.5,56.20805369127517,DD_test,0.05,0.709736
3,3,F1,7.5,56.54362416107382,JT_test,0.05,0.60248
3,3,F1,7.5,56.54362416107382,DD_test,0.05,0.708056
3,3,F1,7.5,56.87919463087248,JT_test,0.05,0.600344
3,3,F1,7.5,56.87919463087248,DD_test,0.05,0.705004
3,3,F1,7.5,57.214765100671144,JT_test,0.05,0.59648
3,3,F1,7.5,57.214765100671144,DD_test,0.05,0.702412
3,3,F1,7.5,57.5503355704698,JT_test,0.05,0.596104
3,3,F1,7.5,57.5503355704698,DD_test,0.05,0.700416
3,3,F1,7.5,57.88590604026846,JT_test,0.05,0.593204
3,3,F1,7.5,57.88590604026846,DD_test,0.05,0.69856
3,3,F1,7.5,58.22147651006711,JT_test,0.05,0.591392
3,3,F1,7.5,58.22147651006711,DD_test,0.05,0.696592
3,3,F1,7.5,58.557046979865774,JT_test,0.05,0.588824
3,3,F1,7.5,58.557046979865774,DD_test,0.05,0.694076
3,3,F1,7.5,58.89261744966443,JT_test,0.05,0.5873
3,3,F1,7.5,58.89261744966443,DD_test,0.05,0.693412
3,3,F1,7.5,59.22818791946309,JT_test,0.05,0.58528
3,3,F1,7.5,59.22818791946309,DD_test,0.05,0.690812
3,3,F1,7.5,59.56375838926175,JT_test,0.05,0.581956
3,3,F1,7.5,59.56375838926175,DD_test,0.05,0.6864
3,3,F1,7.5,59.899328859060404,JT_test,0.05,0.58058
3,3,F1,7.5,59.899328859060404,DD_test,0.05,0.6864
3,3,F1,7.5,60.234899328859065,JT_test,0.05,0.577632
3,3,F1,7.5,60.234899328859065,DD_test,0.05,0.682508
3,3,F1,7.5,60.57046979865772,JT_test,0.05,0.5758
3,3,F1,7.5,60.57046979865772,DD_test,0.05,0.68104
3,3,F1,7.5,60.90604026845638,JT_test,0.05,0.57254
3,3,F1,7.5,60.90604026845638,DD_test,0.05,0.678508
3,3,F1,7.5,61.241610738255034,JT_test,0.05,0.571244
3,3,F1,7.5,61.241610738255034,DD_test,0.05,0.677288
3,3,F1,7.5,61.577181208053695,JT_test,0.05,0.569264
3,3,F1,7.5,61.577181208053695,DD_test,0.05,0.674364
3,3,F1,7.5,61.91275167785235,JT_test,0.05,0.568748
3,3,F1,7.5,61.91275167785235,DD_test,0.05,0.673588
3,3,F1,7.5,62.24832214765101,JT_test,0.05,0.564684
3,3,F1,7.5,62.24832214765101,DD_test,0.05,0.669816
3,3,F1,7.5,62.58389261744966,JT_test,0.05,0.563332
3,3,F1,7.5,62.58389261744966,DD_test,0.05,0.669616
3,3,F1,7.5,62.919463087248324,JT_test,0.05,0.562724
3,3,F1,7.5,62.919463087248324,DD_test,0.05,0.667628
3,3,F1,7.5,63.25503355704698,JT_test,0.05,0.559568
3,3,F1,7.5,63.25503355704698,DD_test,0.05,0.665308
3,3,F1,7.5,63.59060402684564,JT_test,0.05,0.559276
3,3,F1,7.5,63.59060402684564,DD_test,0.05,0.663316
3,3,F1,7.5,63.9261744966443,JT_test,0.05,0.554112
3,3,F1,7.5,63.9261744966443,DD_test,0.05,0.660076
3,3,F1,7.5,64.26174496644296,JT_test,0.05,0.553444
3,3,F1,7.5,64.26174496644296,DD_test,0.05,0.658552
3,3,F1,7.5,64.59731543624162,JT_test,0.05,0.552176
3,3,F1,7.5,64.59731543624162,DD_test,0.05,0.656544
3,3,F1,7.5,64.93288590604027,JT_test,0.05,0.550648
3,3,F1,7.5,64.93288590604027,DD_test,0.05,0.65494
3,3,F1,7.5,65.26845637583892,JT_test,0.05,0.548152
3,3,F1,7.5,65.26845637583892,DD_test,0.05,0.653608
3,3,F1,7.5,65.60402684563758,JT_test,0.05,0.548024
3,3,F1,7.5,65.60402684563758,DD_test,0.05,0.652228
3,3,F1,7.5,65.93959731543625,JT_test,0.05,0.544016
3,3,F1,7.5,65.93959731543625,DD_test,0.05,0.64924
3,3,F1,7.5,66.2751677852349,JT_test,0.05,0.543836
3,3,F1,7.5,66.2751677852349,DD_test,0.05,0.64966
3,3,F1,7.5,66.61073825503357,JT_test,0.05,0.541608
3,3,F1,7.5,66.61073825503357,DD_test,0.05,0.646544
3,3,F1,7.5,66.94630872483222,JT_test,0.05,0.538536
3,3,F1,7.5,66.94630872483222,DD_test,0.05,0.642484
3,3,F1,7.5,67.28187919463087,JT_test,0.05,0.53832
3,3,F1,7.5,67.28187919463087,DD_test,0.05,0.642516
3,3,F1,7.5,67.61744966442953,JT_test,0.05,0.5365
3,3,F1,7.5,67.61744966442953,DD_test,0.05,0.640348
3,3,F1,7.5,67.95302013422818,JT_test,0.05,0.534668
3,3,F1,7.5,67.95302013422818,DD_test,0.05,0.63942
3,3,F1,7.5,68.28859060402685,JT_test,0.05,0.531956
3,3,F1,7.5,68.28859060402685,DD_test,0.05,0.636716
3,3,F1,7.5,68.6241610738255,JT_test,0.05,0.530072
3,3,F1,7.5,68.6241610738255,DD_test,0.05,0.634344
3,3,F1,7.5,68.95973154362417,JT_test,0.05,0.527404
3,3,F1,7.5,68.95973154362417,DD_test,0.05,0.6315
3,3,F1,7.5,69.29530201342283,JT_test,0.05,0.528228
3,3,F1,7.5,69.29530201342283,DD_test,0.05,0.631528
3,3,F1,7.5,69.63087248322148,JT_test,0.05,0.524824
3,3,F1,7.5,69.63087248322148,DD_test,0.05,0.629092
3,3,F1,7.5,69.96644295302013,JT_test,0.05,0.523032
3,3,F1,7.5,69.96644295302013,DD_test,0.05,0.62786
3,3,F1,7.5,70.30201342281879,JT_test,0.05,0.520008
3,3,F1,7.5,70.30201342281879,DD_test,0.05,0.624328
3,3,F1,7.5,70.63758389261744,JT_test,0.05,0.520312
3,3,F1,7.5,70.63758389261744,DD_test,0.05,0.623872
3,3,F1,7.5,70.97315436241611,JT_test,0.05,0.517548
3,3,F1,7.5,70.97315436241611,DD_test,0.05,0.621632
3,3,F1,7.5,71.30872483221476,JT_test,0.05,0.517468
3,3,F1,7.5,71.30872483221476,DD_test,0.05,0.621048
3,3,F1,7.5,71.64429530201343,JT_test,0.05,0.515452
3,3,F1,7.5,71.64429530201343,DD_test,0.05,0.619608
3,3,F1,7.5,71.97986577181209,JT_test,0.05,0.512028
3,3,F1,7.5,71.97986577181209,DD_test,0.05,0.616308
3,3,F1,7.5,72.31543624161074,JT_test,0.05,0.510516
3,3,F1,7.5,72.31543624161074,DD_test,0.05,0.613032
3,3,F1,7.5,72.6510067114094,JT_test,0.05,0.510124
3,3,F1,7.5,72.6510067114094,DD_test,0.05,0.612008
3,3,F1,7.5,72.98657718120805,JT_test,0.05,0.508244
3,3,F1,7.5,72.98657718120805,DD_test,0.05,0.612508
3,3,F1,7.5,73.32214765100672,JT_test,0.05,0.503604
3,3,F1,7.5,73.32214765100672,DD_test,0.05,0.606924
3,3,F1,7.5,73.65771812080537,JT_test,0.05,0.504264
3,3,F1,7.5,73.65771812080537,DD_test,0.05,0.6056
3,3,F1,7.5,73.99328859060404,JT_test,0.05,0.504052
3,3,F1,7.5,73.99328859060404,DD_test,0.05,0.606516
3,3,F1,7.5,74.32885906040269,JT_test,0.05,0.501996
3,3,F1,7.5,74.32885906040269,DD_test,0.05,0.605236
3,3,F1,7.5,74.66442953020135,JT_test,0.05,0.500396
3,3,F1,7.5,74.66442953020135,DD_test,0.05,0.603268
3,3,F1,7.5,75.0,JT_test,0.05,0.499184
3,3,F1,7.5,75.0,DD_test,0.05,0.602792
3,3,F3,3.0,0.0,JT_test,0.05,0.821148
3,3,F3,3.0,0.0,DD_test,0.05,0.901332
3,3,F3,3.0,0.002684563758389262,JT_test,0.05,0.819464
3,3,F3,3.0,0.002684563758389262,DD_test,0.05,0.900192
3,3,F3,3.0,0.005369127516778524,JT_test,0.05,0.815416
3,3,F3,3.0,0.005369127516778524,DD_test,0.05,0.8958
3,3,F3,3.0,0.008053691275167786,JT_test,0.05,0.815288
3,3,F3,3.0,0.008053691275167786,DD_test,0.05,0.895604
3,3,F3,3.0,0.010738255033557048,JT_test,0.05,0.813832
3,3,F3,3.0,0.010738255033557048,DD_test,0.05,0.892604
3,3,F3,3.0,0.01342281879194631,JT_test,0.05,0.811504
3,3,F3,3.0,0.01342281879194631,DD_test,0.05,0.889992
3,3,F3,3.0,0.016107382550335572,JT_test,0.05,0.808464
3,3,F3,3.0,0.016107382550335572,DD_test,0.05,0.887236
3,3,F3,3.0,0.018791946308724834,JT_test,0.05,0.80616
3,3,F3,3.0,0.018791946308724834,DD_test,0.05,0.883944
3,3,F3,3.0,0.021476510067114096,JT_test,0.05,0.804064
3,3,F3,3.0,0.021476510067114096,DD_test,0.05,0.882908
3,3,F3,3.0,0.02416107382550336,JT_test,0.05,0.799664
3,3,F3,3.0,0.02416107382550336,DD_test,0.05,0.879464
3,3,F3,3.0,0.02684563758389262,JT_test,0.05,0.799144
3,3,F3,3.0,0.02684563758389262,DD_test,0.05,0.877524
3,3,F3,3.0,0.029530201342281882,JT_test,0.05,0.798416
3,3,F3,3.0,0.029530201342281882,DD_test,0.05,0.875876
3,3,F3,3.0,0.032214765100671144,JT_test,0.05,0.795156
3,3,F3,3.0,0.032214765100671144,DD_test,0.05,0.87342
3,3,F3,3.0,0.034899328859060406,JT_test,0.05,0.791596
3,3,F3,3.0,0.034899328859060406,DD_test,0.05,0.870744
3,3,F3,3.0,0.03758389261744967,JT_test,0.05,0.79252
3,3,F3,3.0,0.03758389261744967,DD_test,0.05,0.869664
3,3,F3,3.0,0.04026845637583893,JT_test,0.05,0.788096
3,3,F3,3.0,0.04026845637583893,DD_test,0.05,0.865464
3,3,F3,3.0,0.04295302013422819,JT_test,0.05,0.786744
3,3,F3,3.0,0.04295302013422819,DD_test,0.05,0.864964
3,3,F3,3.0,0.045637583892617455,JT_test,0.05,0.783444
3,3,F3,3.0,0.045637583892617455,DD_test,0.05,0.861036
3,3,F3,3.0,0.04832214765100672,JT_test,0.05,0.782036
3,3,F3,3.0,0.04832214765100672,DD_test,0.05,0.858536
3,3,F3,3.0,0.05100671140939598,JT_test,0.05,0.77944
3,3,F3,3.0,0.05100671140939598,DD_test,0.05,0.856864
3,3,F3,3.0,0.05369127516778524,JT_test,0.05,0.776588
3,3,F3,3.0,0.05369127516778524,DD_test,0.05,0.854416
3,3,F3,3.0,0.0563758389261745,JT_test,0.05,0.776604
3,3,F3,3.0,0.0563758389261745,DD_test,0.05,0.853028
3,3,F3,3.0,0.059060402684563765,JT_test,0.05,0.772756
3,3,F3,3.0,0.059060402684563765,DD_test,0.05,0.850052
3,3,F3,3.0,0.06174496644295303,JT_test,0.05,0.772232
3,3,F3,3.0,0.06174496644295303,DD_test,0.05,0.848672
3,3,F3,3.0,0.06442953020134229,JT_test,0.05,0.767644
3,3,F3,3.0,0.06442953020134229,DD_test,0.05,0.844856
3,3,F3,3.0,0.06711409395973156,JT_test,0.05,0.765516
3,3,F3,3.0,0.06711409395973156,DD_test,0.05,0.842452
3,3,F3,3.0,0.06979865771812081,JT_test,0.05,0.76412
3,3,F3,3.0,0.06979865771812081,DD_test,0.05,0.841292
3,3,F3,3.0,0.07248322147651007,JT_test,0.05,0.760844
3,3,F3,3.0,0.07248322147651007,DD_test,0.05,0.838328
3,3,F3,3.0,0.07516778523489934,JT_test,0.05,0.75896
3,3,F3,3.0,0.07516778523489934,DD_test,0.05,0.835424
3,3,F3,3.0,0.0778523489932886,JT_test,0.05,0.757444
3,3,F3,3.0,0.0778523489932886,DD_test,0.05,0.83426
3,3,F3,3.0,0.08053691275167786,JT_test,0.05,0.756292
3,3,F3,3.0,0.08053691275167786,DD_test,0.05,0.832192
3,3,F3,3.0,0.08322147651006712,JT_test,0.05,0.753448
3,3,F3,3.0,0.08322147651006712,DD_test,0.05,0.829676
3,3,F3,3.0,0.08590604026845639,JT_test,0.05,0.751624
3,3,F3,3.0,0.08590604026845639,DD_test,0.05,0.827136
3,3,F3,3.0,0.08859060402684565,JT_test,0.05,0.751504
3,3,F3,3.0,0.08859060402684565,DD_test,0.05,0.826368
3,3,F3,3.0,0.09127516778523491,JT_test,0.05,0.747816
3,3,F3,3.0,0.09127516778523491,DD_test,0.05,0.823484
3,3,F3,3.0,0.09395973154362416,JT_test,0.05,0.744584
3,3,F3,3.0,0.09395973154362416,DD_test,0.05,0.820504
3,3,F3,3.0,0.09664429530201343,JT_test,0.05,0.744496
3,3,F3,3.0,0.09664429530201343,DD_test,0.05,0.81952
3,3,F3,3.0,0.0993288590604027,JT_test,0.05,0.741152
3,3,F3,3.0,0.0993288590604027,DD_test,0.05,0.816096
3,3,F3,3.0,0.10201342281879196,JT_test,0.05,0.738992
3,3,F3,3.0,0.10201342281879196,DD_test,0.05,0.815296
3,3,F3,3.0,0.10469798657718121,JT_test,0.05,0.737316
3,3,F3,3.0,0.10469798657718121,DD_test,0.05,0.812364
3,3,F3,3.0,0.10738255033557048,JT_test,0.05,0.734376
3,3,F3,3.0,0.10738255033557048,DD_test,0.05,0.810444
3,3,F3,3.0,0.11006711409395975,JT_test,0.05,0.732428
3,3,F3,3.0,0.11006711409395975,DD_test,0.05,0.807164
3,3,F3,3.0,0.112751677852349,JT_test,0.05,0.730988
3,3,F3,3.0,0.112751677852349,DD_test,0.05,0.806344
3,3,F3,3.0,0.11543624161073826,JT_test,0.05,0.727296
3,3,F3,3.0,0.11543624161073826,DD_test,0.05,0.8033
3,3,F3,3.0,0.11812080536912753,JT_test,0.05,0.726892
3,3,F3,3.0,0.11812080536912753,DD_test,0.05,0.802432
3,3,F3,3.0,0.1208053691275168,JT_test,0.05,0.723176
3,3,F3,3.0,0.1208053691275168,DD_test,0.05,0.798916
3,3,F3,3.0,0.12348993288590605,JT_test,0.05,0.722312
3,3,F3,3.0,0.12348993288590605,DD_test,0.05,0.797052
3,3,F3,3.0,0.1261744966442953,JT_test,0.05,0.722152
3,3,F3,3.0,0.1261744966442953,DD_test,0.05,0.795748
3,3,F3,3.0,0.12885906040268458,JT_test,0.05,0.717764
3,3,F3,3.0,0.12885906040268458,DD_test,0.05,0.79228
3,3,F3,3.0,0.13154362416107385,JT_test,0.05,0.715088
3,3,F3,3.0,0.13154362416107385,DD_test,0.05,0.788768
3,3,F3,3.0,0.13422818791946312,JT_test,0.05,0.714148
3,3,F3,3.0,0.13422818791946312,DD_test,0.05,0.788936
3,3,F3,3.0,0.13691275167785236,JT_test,0.05,0.711884
3,3,F3,3.0,0.13691275167785236,DD_test,0.05,0.786996
3,3,F3,3.0,0.13959731543624163,JT_test,0.05,0.709752
3,3,F3,3.0,0.13959731543624163,DD_test,0.05,0.784752
3,3,F3,3.0,0.1422818791946309,JT_test,0.05,0.707872
3,3,F3,3.0,0.1422818791946309,DD_test,0.05,0.7825
3,3,F3,3.0,0.14496644295302014,JT_test,0.05,0.7052
3,3,F3,3.0,0.14496644295302014,DD_test,0.05,0.780244
3,3,F3,3.0,0.1476510067114094,JT_test,0.05,0.705312
3,3,F3,3.0,0.1476510067114094,DD_test,0.05,0.778496
3,3,F3,3.0,0.15033557046979867,JT_test,0.05,0.700852
3,3,F3,3.0,0.15033557046979867,DD_test,0.05,0.77574
3,3,F3,3.0,0.15302013422818794,JT_test,0.05,0.703076
3,3,F3,3.0,0.15302013422818794,DD_test,0.05,0.776924
3,3,F3,3.0,0.1557046979865772,JT_test,0.05,0.700372
3,3,F3,3.0,0.1557046979865772,DD_test,0.05,0.773728
3,3,F3,3.0,0.15838926174496645,JT_test,0.05,0.696712
