k,n,dist,treatment_shift,test_name,alpha,rejection_rate
3,2,F1,4.213483146067416,DD_test,0.1,0.382416
3,2,F1,4.49438202247191,JT_test,0.01,0.0
3,2,F1,4.49438202247191,DD_test,0.01,0.0
3,2,F1,4.49438202247191,JT_test,0.05,0.193892
3,2,F1,4.49438202247191,DD_test,0.05,0.2531
3,2,F1,4.49438202247191,JT_test,0.1,0.392216
3,2,F1,4.49438202247191,DD_test,0.1,0.410376
3,2,F1,4.775280898876405,JT_test,0.01,0.0
3,2,F1,4.775280898876405,DD_test,0.01,0.0
3,2,F1,4.775280898876405,JT_test,0.05,0.210176
3,2,F1,4.775280898876405,DD_test,0.05,0.274152
3,2,F1,4.775280898876405,JT_test,0.1,0.417068
3,2,F1,4.775280898876405,DD_test,0.1,0.437492
3,2,F1,5.056179775280899,JT_test,0.01,0.0
3,2,F1,5.056179775280899,DD_test,0.01,0.0
3,2,F1,5.056179775280899,JT_test,0.05,0.227248
3,2,F1,5.056179775280899,DD_test,0.05,0.29546
3,2,F1,5.056179775280899,JT_test,0.1,0.442344
3,2,F1,5.056179775280899,DD_test,0.1,0.464264
3,2,F1,5.337078651685394,JT_test,0.01,0.0
3,2,F1,5.337078651685394,DD_test,0.01,0.0
3,2,F1,5.337078651685394,JT_test,0.05,0.2453
3,2,F1,5.337078651685394,DD_test,0.05,0.31742
3,2,F1,5.337078651685394,JT_test,0.1,0.468316
3,2,F1,5.337078651685394,DD_test,0.1,0.492756
3,2,F1,5.617977528089888,JT_test,0.01,0.0
3,2,F1,5.617977528089888,DD_test,0.01,0.0
3,2,F1,5.617977528089888,JT_test,0.05,0.262708
3,2,F1,5.617977528089888,DD_test,0.05,0.340568
3,2,F1,5.617977528089888,JT_test,0.1,0.494952
3,2,F1,5.617977528089888,DD_test,0.1,0.519992
3,2,F1,5.898876404494382,JT_test,0.01,0.0
3,2,F1,5.898876404494382,DD_test,0.01,0.0
3,2,F1,5.898876404494382,JT_test,0.05,0.281992
3,2,F1,5.898876404494382,DD_test,0.05,0.362576
3,2,F1,5.898876404494382,JT_test,0.1,0.518596
3,2,F1,5.898876404494382,DD_test,0.1,0.545736
3,2,F1,6.179775280898877,JT_test,0.01,0.0
3,2,F1,6.179775280898877,DD_test,0.01,0.0
3,2,F1,6.179775280898877,JT_test,0.05,0.300796
3,2,F1,6.179775280898877,DD_test,0.05,0.386596
3,2,F1,6.179775280898877,JT_test,0.1,0.544076
3,2,F1,6.179775280898877,DD_test,0.1,0.57432
3,2,F1,6.460674157303371,JT_test,0.01,0.0
3,2,F1,6.460674157303371,DD_test,0.01,0.0
3,2,F1,6.460674157303371,JT_test,0.05,0.320452
3,2,F1,6.460674157303371,DD_test,0.05,0.410408
3,2,F1,6.460674157303371,JT_test,0.1,0.570676
3,2,F1,6.460674157303371,DD_test,0.1,0.600144
3,2,F1,6.741573033707866,JT_test,0.01,0.0
3,2,F1,6.741573033707866,DD_test,0.01,0.0
3,2,F1,6.741573033707866,JT_test,0.05,0.339976
3,2,F1,6.741573033707866,DD_test,0.05,0.433296
3,2,F1,6.741573033707866,JT_test,0.1,0.593536
3,2,F1,6.741573033707866,DD_test,0.1,0.625676
3,2,F1,7.02247191011236,JT_test,0.01,0.0
3,2,F1,7.02247191011236,DD_test,0.01,0.0
3,2,F1,7.02247191011236,JT_test,0.05,0.362556
3,2,F1,7.02247191011236,DD_test,0.05,0.460088
3,2,F1,7.02247191011236,JT_test,0.1,0.619364
3,2,F1,7.02247191011236,DD_test,0.1,0.652284
3,2,F1,7.3033707865168545,JT_test,0.01,0.0
3,2,F1,7.3033707865168545,DD_test,0.01,0.0
3,2,F1,7.3033707865168545,JT_test,0.05,0.381292
3,2,F1,7.3033707865168545,DD_test,0.05,0.482744
3,2,F1,7.3033707865168545,JT_test,0.1,0.6416
3,2,F1,7.3033707865168545,DD_test,0.1,0.67644
3,2,F1,7.584269662921349,JT_test,0.01,0.0
3,2,F1,7.584269662921349,DD_test,0.01,0.0
3,2,F1,7.584269662921349,JT_test,0.05,0.402624
3,2,F1,7.584269662921349,DD_test,0.05,0.507164
3,2,F1,7.584269662921349,JT_test,0.1,0.665024
3,2,F1,7.584269662921349,DD_test,0.1,0.699824
3,2,F1,7.865168539325843,JT_test,0.01,0.0
3,2,F1,7.865168539325843,DD_test,0.01,0.0
3,2,F1,7.865168539325843,JT_test,0.05,0.424172
3,2,F1,7.865168539325843,DD_test,0.05,0.5328
3,2,F1,7.865168539325843,JT_test,0.1,0.688
3,2,F1,7.865168539325843,DD_test,0.1,0.724064
3,2,F1,8.146067415730338,JT_test,0.01,0.0
3,2,F1,8.146067415730338,DD_test,0.01,0.0
3,2,F1,8.146067415730338,JT_test,0.05,0.445484
3,2,F1,8.146067415730338,DD_test,0.05,0.557856
3,2,F1,8.146067415730338,JT_test,0.1,0.710184
3,2,F1,8.146067415730338,DD_test,0.1,0.748084
3,2,F1,8.426966292134832,JT_test,0.01,0.0
3,2,F1,8.426966292134832,DD_test,0.01,0.0
3,2,F1,8.426966292134832,JT_test,0.05,0.46618
3,2,F1,8.426966292134832,DD_test,0.05,0.58038
3,2,F1,8.426966292134832,JT_test,0.1,0.729756
3,2,F1,8.426966292134832,DD_test,0.1,0.767644
3,2,F1,8.707865168539326,JT_test,0.01,0.0
3,2,F1,8.707865168539326,DD_test,0.01,0.0
3,2,F1,8.707865168539326,JT_test,0.05,0.48838
3,2,F1,8.707865168539326,DD_test,0.05,0.604948
3,2,F1,8.707865168539326,JT_test,0.1,0.750532
3,2,F1,8.707865168539326,DD_test,0.1,0.788508
3,2,F1,8.98876404494382,JT_test,0.01,0.0
3,2,F1,8.98876404494382,DD_test,0.01,0.0
3,2,F1,8.98876404494382,JT_test,0.05,0.50976
3,2,F1,8.98876404494382,DD_test,0.05,0.62844
3,2,F1,8.98876404494382,JT_test,0.1,0.76902
3,2,F1,8.98876404494382,DD_test,0.1,0.8079
3,2,F1,9.269662921348315,JT_test,0.01,0.0
3,2,F1,9.269662921348315,DD_test,0.01,0.0
3,2,F1,9.269662921348315,JT_test,0.05,0.530864
3,2,F1,9.269662921348315,DD_test,0.05,0.650648
3,2,F1,9.269662921348315,JT_test,0.1,0.78624
3,2,F1,9.269662921348315,DD_test,0.1,0.82426
3,2,F1,9.55056179775281,JT_test,0.01,0.0
3,2,F1,9.55056179775281,DD_test,0.01,0.0
3,2,F1,9.55056179775281,JT_test,0.05,0.55106
3,2,F1,9.55056179775281,DD_test,0.05,0.672196
3,2,F1,9.55056179775281,JT_test,0.1,0.804224
3,2,F1,9.55056179775281,DD_test,0.1,0.841556
3,2,F1,9.831460674157304,JT_test,0.01,0.0
3,2,F1,9.831460674157304,DD_test,0.01,0.0
3,2,F1,9.831460674157304,JT_test,0.05,0.570244
3,2,F1,9.831460674157304,DD_test,0.05,0.692996
3,2,F1,9.831460674157304,JT_test,0.1,0.818344
3,2,F1,9.831460674157304,DD_test,0.1,0.856612
3,2,F1,10.112359550561798,JT_test,0.01,0.0
3,2,F1,10.112359550561798,DD_test,0.01,0.0
3,2,F1,10.112359550561798,JT_test,0.05,0.590952
3,2,F1,10.112359550561798,DD_test,0.05,0.713632
3,2,F1,10.112359550561798,JT_test,0.1,0.834868
3,2,F1,10.112359550561798,DD_test,0.1,0.87172
3,2,F1,10.393258426966293,JT_test,0.01,0.0
3,2,F1,10.393258426966293,DD_test,0.01,0.0
3,2,F1,10.393258426966293,JT_test,0.05,0.611492
3,2,F1,10.393258426966293,DD_test,0.05,0.735468
3,2,F1,10.393258426966293,JT_test,0.1,0.850416
3,2,F1,10.393258426966293,DD_test,0.1,0.886116
3,2,F1,10.674157303370787,JT_test,0.01,0.0
3,2,F1,10.674157303370787,DD_test,0.01,0.0
3,2,F1,10.674157303370787,JT_test,0.05,0.630116
3,2,F1,10.674157303370787,DD_test,0.05,0.752808
3,2,F1,10.674157303370787,JT_test,0.1,0.862836
3,2,F1,10.674157303370787,DD_test,0.1,0.897668
3,2,F1,10.955056179775282,JT_test,0.01,0.0
3,2,F1,10.955056179775282,DD_test,0.01,0.0
3,2,F1,10.955056179775282,JT_test,0.05,0.64942
3,2,F1,10.955056179775282,DD_test,0.05,0.77258
3,2,F1,10.955056179775282,JT_test,0.1,0.87586
3,2,F1,10.955056179775282,DD_test,0.1,0.91044
3,2,F1,11.235955056179776,JT_test,0.01,0.0
3,2,F1,11.235955056179776,DD_test,0.01,0.0
3,2,F1,11.235955056179776,JT_test,0.05,0.669352
3,2,F1,11.235955056179776,DD_test,0.05,0.789316
3,2,F1,11.235955056179776,JT_test,0.1,0.887492
3,2,F1,11.235955056179776,DD_test,0.1,0.920412
3,2,F1,11.51685393258427,JT_test,0.01,0.0
3,2,F1,11.51685393258427,DD_test,0.01,0.0
3,2,F1,11.51685393258427,JT_test,0.05,0.685468
3,2,F1,11.51685393258427,DD_test,0.05,0.80632
3,2,F1,11.51685393258427,JT_test,0.1,0.898232
3,2,F1,11.51685393258427,DD_test,0.1,0.929244
3,2,F1,11.797752808988765,JT_test,0.01,0.0
3,2,F1,11.797752808988765,DD_test,0.01,0.0
3,2,F1,11.797752808988765,JT_test,0.05,0.70236
3,2,F1,11.797752808988765,DD_test,0.05,0.82076
3,2,F1,11.797752808988765,JT_test,0.1,0.907212
3,2,F1,11.797752808988765,DD_test,0.1,0.938268
3,2,F1,12.07865168539326,JT_test,0.01,0.0
3,2,F1,12.07865168539326,DD_test,0.01,0.0
3,2,F1,12.07865168539326,JT_test,0.05,0.720916
3,2,F1,12.07865168539326,DD_test,0.05,0.836952
3,2,F1,12.07865168539326,JT_test,0.1,0.916628
3,2,F1,12.07865168539326,DD_test,0.1,0.945788
3,2,F1,12.359550561797754,JT_test,0.01,0.0
3,2,F1,12.359550561797754,DD_test,0.01,0.0
3,2,F1,12.359550561797754,JT_test,0.05,0.735264
3,2,F1,12.359550561797754,DD_test,0.05,0.848784
3,2,F1,12.359550561797754,JT_test,0.1,0.924116
3,2,F1,12.359550561797754,DD_test,0.1,0.952184
3,2,F1,12.640449438202248,JT_test,0.01,0.0
3,2,F1,12.640449438202248,DD_test,0.01,0.0
3,2,F1,12.640449438202248,JT_test,0.05,0.751392
3,2,F1,12.640449438202248,DD_test,0.05,0.863452
3,2,F1,12.640449438202248,JT_test,0.1,0.932644
3,2,F1,12.640449438202248,DD_test,0.1,0.959424
3,2,F1,12.921348314606742,JT_test,0.01,0.0
3,2,F1,12.921348314606742,DD_test,0.01,0.0
3,2,F1,12.921348314606742,JT_test,0.05,0.765916
3,2,F1,12.921348314606742,DD_test,0.05,0.874588
3,2,F1,12.921348314606742,JT_test,0.1,0.939572
3,2,F1,12.921348314606742,DD_test,0.1,0.964068
3,2,F1,13.202247191011237,JT_test,0.01,0.0
3,2,F1,13.202247191011237,DD_test,0.01,0.0
3,2,F1,13.202247191011237,JT_test,0.05,0.781996
3,2,F1,13.202247191011237,DD_test,0.05,0.887556
3,2,F1,13.202247191011237,JT_test,0.1,0.945896
3,2,F1,13.202247191011237,DD_test,0.1,0.969424
3,2,F1,13.483146067415731,JT_test,0.01,0.0
3,2,F1,13.483146067415731,DD_test,0.01,0.0
3,2,F1,13.483146067415731,JT_test,0.05,0.794784
3,2,F1,13.483146067415731,DD_test,0.05,0.89748
3,2,F1,13.483146067415731,JT_test,0.1,0.95142
3,2,F1,13.483146067415731,DD_test,0.1,0.973916
3,2,F1,13.764044943820226,JT_test,0.01,0.0
3,2,F1,13.764044943820226,DD_test,0.01,0.0
3,2,F1,13.764044943820226,JT_test,0.05,0.807612
3,2,F1,13.764044943820226,DD_test,0.05,0.908516
3,2,F1,13.764044943820226,JT_test,0.1,0.957112
3,2,F1,13.764044943820226,DD_test,0.1,0.977588
3,2,F1,14.04494382022472,JT_test,0.01,0.0
3,2,F1,14.04494382022472,DD_test,0.01,0.0
3,2,F1,14.04494382022472,JT_test,0.05,0.82062
3,2,F1,14.04494382022472,DD_test,0.05,0.916896
3,2,F1,14.04494382022472,JT_test,0.1,0.961536
3,2,F1,14.04494382022472,DD_test,0.1,0.980784
3,2,F1,14.325842696629215,JT_test,0.01,0.0
3,2,F1,14.325842696629215,DD_test,0.01,0.0
3,2,F1,14.325842696629215,JT_test,0.05,0.830792
3,2,F1,14.325842696629215,DD_test,0.05,0.924196
3,2,F1,14.325842696629215,JT_test,0.1,0.96576
3,2,F1,14.325842696629215,DD_test,0.1,0.984044
3,2,F1,14.606741573033709,JT_test,0.01,0.0
3,2,F1,14.606741573033709,DD_test,0.01,0.0
3,2,F1,14.606741573033709,JT_test,0.05,0.84258
3,2,F1,14.606741573033709,DD_test,0.05,0.9322
3,2,F1,14.606741573033709,JT_test,0.1,0.969264
3,2,F1,14.606741573033709,DD_test,0.1,0.986048
3,2,F1,14.887640449438203,JT_test,0.01,0.0
3,2,F1,14.887640449438203,DD_test,0.01,0.0
3,2,F1,14.887640449438203,JT_test,0.05,0.854556
3,2,F1,14.887640449438203,DD_test,0.05,0.940068
3,2,F1,14.887640449438203,JT_test,0.1,0.972944
3,2,F1,14.887640449438203,DD_test,0.1,0.988184
3,2,F1,15.168539325842698,JT_test,0.01,0.0
3,2,F1,15.168539325842698,DD_test,0.01,0.0
3,2,F1,15.168539325842698,JT_test,0.05,0.863252
